neighbourhood,room_type,calculated_host_listings_count,availability_365,price
0.6454545454545454,0.0,0.0,0.9808219178082191,55
0.12727272727272726,0.0,0.0,0.0,99
0.06818181818181818,0.5,0.0,0.6027397260273972,250
0.09999999999999999,0.5,0.0,0.2602739726027397,200
0.00909090909090909,0.0,0.0,0.0,70
0.13636363636363635,1.0,0.006134969325153375,1.0,25
0.17727272727272728,0.5,0.0,0.0,95
0.06818181818181818,0.5,0.003067484662576687,0.9205479452054794,155
0.05454545454545454,0.0,0.0,0.2356164383561644,85
0.06363636363636363,0.0,0.0,0.0,150
0.19999999999999998,0.0,0.018404907975460124,0.12876712328767123,60
0.013636363636363636,0.5,0.015337423312883437,0.5452054794520548,248
0.5045454545454545,0.0,0.018404907975460124,0.8547945205479452,60
0.12272727272727273,0.5,0.0,0.0,700
0.19999999999999998,0.5,0.003067484662576687,0.4,220
0.013636363636363636,0.5,0.0,0.0,125
0.06818181818181818,0.0,0.0,0.0,32
0.06363636363636363,0.5,0.0,0.4904109589041096,500
0.11818181818181818,0.5,0.0,0.008219178082191782,175
0.06818181818181818,0.5,0.0,0.452054794520548,150
0.02727272727272727,0.5,0.0,0.5232876712328767,113
0.00909090909090909,0.0,0.006134969325153375,0.16712328767123288,59
0.05454545454545454,0.5,0.0,1.0,350
0.4818181818181818,0.5,0.0,0.7479452054794521,137
0.09545454545454544,0.5,0.003067484662576687,1.0,155
0.2681818181818182,0.0,0.0,0.9945205479452055,60
0.11363636363636363,0.0,0.027607361963190184,0.9534246575342465,79
0.11363636363636363,0.0,0.024539877300613498,0.7698630136986302,58
0.6681818181818181,0.0,0.0,0.0,65
0.09090909090909091,0.0,0.0,0.0,100
0.05454545454545454,0.5,0.0,0.0,300
0.11363636363636363,0.0,0.003067484662576687,0.8027397260273973,55
0.08181818181818182,0.5,0.0,0.6821917808219178,90
0.12727272727272726,1.0,0.015337423312883437,0.7068493150684931,45
0.02727272727272727,0.5,0.0,0.0,80
0.09545454545454544,0.0,0.003067484662576687,0.8356164383561644,65
0.06363636363636363,0.5,0.0,0.1643835616438356,250
0.3409090909090909,0.5,0.0,0.0,150
0.08636363636363636,0.0,0.0,0.0,100
0.013636363636363636,0.0,0.003067484662576687,0.43561643835616437,80
0.39999999999999997,0.0,0.003067484662576687,0.32054794520547947,50
0.12727272727272726,0.5,0.003067484662576687,0.0,124
0.12272727272727273,0.0,0.0,0.0,72
0.2545454545454545,0.5,0.0,0.8410958904109589,280
0.25,0.0,0.015337423312883437,0.8191780821917808,35
0.44545454545454544,0.5,0.0,0.6246575342465753,115
0.13636363636363635,0.0,0.003067484662576687,0.10410958904109589,54
0.2409090909090909,0.0,0.003067484662576687,0.0,99
0.3090909090909091,0.5,0.0,0.18082191780821918,690
0.03636363636363636,0.5,0.0,0.0,1500
0.05454545454545454,0.0,0.0,0.0,55
0.1318181818181818,0.5,0.0,0.057534246575342465,200
0.06818181818181818,0.0,0.0,0.0,44
0.3227272727272727,0.5,1.0,0.9561643835616438,212
0.02727272727272727,0.0,0.003067484662576687,0.12328767123287672,48
0.16363636363636364,0.5,0.0,0.0,140
0.09545454545454544,0.5,0.0,1.0,125
